start_datetime duration liters month hour day max_flow fixture
1558984906 33 1561 5 21 0 51 bidet
1556355426 43 1561 4 10 5 38 washbasin
1563072191 25 1557 7 4 6 65 bidet
1565022360 25 1555 8 18 0 65 kitchenfaucet
1553371823 51 1554 3 21 5 33 kitchenfaucet
1568397976 50 1552 9 20 4 42 kitchenfaucet
1570365144 19 1551 10 14 6 90 kitchenfaucet
1553239650 71 1547 3 8 4 24 washbasin
1560200733 26 1546 6 23 0 63 kitchenfaucet
1551536018 30 1545 3 15 5 56 bidet
1564988926 63 1545 8 9 0 33 kitchenfaucet
1555139646 30 1544 4 9 5 54 kitchenfaucet
1560464825 20 1543 6 0 4 117 washbasin
1558997287 30 1542 5 0 1 63 bidet
1552546675 44 1540 3 7 3 36 bidet
1560007684 41 1538 6 17 5 78 kitchenfaucet
1560346816 26 1535 6 15 2 63 washbasin
1561185545 76 1534 6 8 5 22 washbasin
1564488914 42 1534 7 14 1 38 washbasin
1560194044 48 1533 6 21 0 36 kitchenfaucet
1562170834 50 1532 7 18 2 33 washbasin
1563779575 77 1532 7 9 0 22 washbasin
1571119586 32 1528 10 8 1 56 bidet
1553669769 38 1527 3 7 2 42 bidet
1555161980 39 1524 4 15 5 42 washbasin
1558504809 33 1521 5 8 2 51 bidet
1558624380 31 1520 5 17 3 56 bidet
1562780574 47 1520 7 19 2 36 bidet
1562140398 22 1519 7 9 2 85 washbasin
1553434601 27 1518 3 14 6 63 washbasin
1559632506 20 1517 6 9 1 81 kitchenfaucet
1569676251 31 1514 9 15 5 51 bidet
1559146322 26 1511 5 18 2 60 kitchenfaucet
1559544357 17 1511 6 8 0 92 kitchenfaucet
1562607450 37 1508 7 19 0 42 bidet
1556830007 28 1506 5 22 3 56 kitchenfaucet
1558505031 21 1506 5 8 2 76 washbasin
1561501232 45 1505 6 0 2 38 kitchenfaucet
1569698584 37 1504 9 21 5 51 kitchenfaucet
1562767310 19 1502 7 16 2 99 bidet
1557178950 41 1502 5 23 0 38 kitchenfaucet
1570920752 32 1501 10 0 6 49 kitchenfaucet
1569659693 11 1500 9 10 5 146 kitchenfaucet
1571505918 41 1498 10 19 5 38 kitchenfaucet
1554114396 31 1497 4 12 0 49 bidet
1560242004 44 1495 6 10 1 42 bidet
1562218157 72 1494 7 7 3 24 washbasin
1562519069 25 1494 7 19 6 65 washbasin
1553082715 42 1493 3 12 2 54 kitchenfaucet
1553670331 79 1492 3 8 2 22 washbasin
1565942101 71 1492 8 9 4 22 washbasin
1570292614 28 1489 10 18 5 56 washbasin
1559715307 39 1488 6 8 2 40 kitchenfaucet
1559799960 23 1486 6 7 3 67 bidet
1558600635 38 1484 5 10 3 40 bidet
1571495846 19 1484 10 16 5 81 washbasin
1559687143 28 1483 6 0 2 58 kitchenfaucet
1570360508 32 1482 10 13 6 49 kitchenfaucet
1561962250 30 1480 7 8 0 54 bidet
1557379212 56 1479 5 7 3 29 bidet
1556705479 31 1479 5 12 2 49 washbasin
