duration liters month hour day max_flow fixture num_fixture av_flow_rate sec_from_midnight
34 1104 4 14 5 36 washbasin 4 32.4705882352941 46144
67 1099 7 9 4 22 washbasin 4 16.4029850746269 25729
52 1096 4 10 5 24 washbasin 4 21.0769230769231 31655
23 1096 9 8 0 51 washbasin 4 47.6521739130435 22913
22 1095 5 12 4 54 washbasin 4 49.7727272727273 36724
31 1094 10 20 5 36 washbasin 4 35.2903225806452 66531
28 1091 10 19 3 42 washbasin 4 38.9642857142857 61425
29 1084 9 9 2 40 washbasin 4 37.3793103448276 26589
70 1078 7 2 0 18 washbasin 4 15.4 788
30 1077 8 16 4 38 washbasin 4 35.9 50655
20 1076 6 9 6 56 washbasin 4 53.8 27001
32 1074 2 11 2 36 washbasin 4 33.5625 36168
28 1073 4 12 0 40 washbasin 4 38.3214285714286 39484
30 1072 10 17 5 38 washbasin 4 35.7333333333333 55521
33 1071 4 8 0 36 washbasin 4 32.4545454545455 22884
36 1070 3 16 5 31 washbasin 4 29.7222222222222 54486
16 1069 6 19 0 72 washbasin 4 66.8125 62531
33 1068 6 19 5 36 washbasin 4 32.3636363636364 61356
32 1068 6 15 6 36 washbasin 4 33.375 48276
28 1068 7 3 6 40 washbasin 4 38.1428571428571 3644
16 1067 10 9 5 69 washbasin 4 66.6875 25366
27 1065 4 8 4 42 washbasin 4 39.4444444444444 24121
74 1065 9 12 5 18 washbasin 4 14.3918918918919 37935
22 1065 10 12 6 51 washbasin 4 48.4090909090909 41729
22 1063 10 11 1 51 washbasin 4 48.3181818181818 32771
29 1057 2 18 4 38 washbasin 4 36.448275862069 61311
15 1056 2 1 3 76 washbasin 4 70.4 974
27 1056 10 10 0 40 washbasin 4 39.1111111111111 31038
25 1055 2 8 1 45 washbasin 4 42.2 27766
30 1052 9 18 2 38 washbasin 4 35.0666666666667 59616
35 1048 5 8 4 31 washbasin 4 29.9428571428571 25184
32 1048 10 16 3 36 washbasin 4 32.75 50547
34 1047 3 8 2 33 washbasin 4 30.7941176470588 27281
